Rank,Name,Year,Rating
1, Vykoupení z věznice Shawshank,1994,9.3
2, Kmotr,1972,9.2
3, Temný rytíř,2008,9.0
4, Kmotr II,1974,9.0
5, Dvanáct rozhněvaných mužů,1957,9.0
6, Schindlerův seznam,1993,9.0
7, Pán prstenů: Návrat krále,2003,9.0
8, Pulp Fiction: Historky z podsvětí,1994,8.9
9, Pán prstenů: Společenstvo prstenu,2001,8.9
10," Hodný, Zlý a Ošklivý",1966,8.8
11, Forrest Gump,1994,8.8
12, Klub rváčů,1999,8.8
13, Pán prstenů: Dvě věže,2002,8.8
14, Počátek,2010,8.8
15, Star Wars V: Impérium vrací úder,1980,8.7
16, Matrix,1999,8.7
17, Gangsteři,1990,8.7
18, Přelet nad kukaččím hnízdem,1975,8.7
19, Sedm,1995,8.6
20, Zivot je krásný,1946,8.6
21, Interstellar,2014,8.7
22, Sedm samurajů,1954,8.6
23, Mlčení jehňátek,1991,8.6
24, Zachraňte vojína Ryana,1998,8.6
25, Město bohů,2002,8.6
26, Život je krásný,1997,8.6
27, Zelená míle,1999,8.6
28, Terminátor 2: Den zúčtování,1991,8.6
29, Star Wars IV: Nová naděje,1977,8.6
30, Spider-Man: Napříč paralelními světy,2023,8.6
31, Návrat do budoucnosti,1985,8.5
32, Cesta do fantazie,2001,8.6
33, Pianista,2002,8.5
34, Parazit,2019,8.5
35, Psycho,1960,8.5
36, Gladiátor,2000,8.5
37, The Lion King,1994,8.5
38, Léon,1994,8.5
39, Skrytá identita,2006,8.5
40, Kult hákového kříže,1998,8.5
41, Whiplash,2014,8.5
42, Dokonalý trik,2006,8.5
43, Hrob světlušek,1988,8.5
44, Seppuku,1962,8.6
45, Obvyklí podezřelí,1995,8.5
46, Casablanca,1942,8.5
47, Nedotknutelní,2011,8.5
48, Moderní Doba,1936,8.5
49, Bio Ráj,1988,8.5
50, 12th Fail,2023,9.2
51, Okno do dvora,1954,8.5
52, Tenkrát na Západě,1968,8.5
53, Vetřelec,1979,8.5
54, Světla velkoměsta,1931,8.5
55, Apokalypsa,1979,8.4
56, Nespoutaný Django,2012,8.5
57, Memento,2000,8.4
58, Vall-I,2008,8.4
59, Dobyvatelé ztracené archy,1981,8.4
60, Životy těch druhých,2006,8.4
61, Sunset Blvd,1950,8.4
62, Stezky slávy,1957,8.4
63, Avengers: Infinity War,2018,8.4
64, Spider-Man: Paralelní světy,2018,8.4
65, Osvícení,1980,8.4
66, Svědek obžaloby,1957,8.4
67, Diktátor,1940,8.4
68, Vetřelci,1986,8.4
69, Hanebný pancharti,2009,8.4
70, Temný rytíř povstal,2012,8.4
71, Americká krása,1999,8.3
72, Dr,1964,8.4
73, Old Boy,2003,8.3
74, Coco,2017,8.4
75, Amadeus,1984,8.4
76, Toy Story: Příběh hraček,1995,8.3
77, Ponorka,1981,8.4
78, Statečné srdce,1995,8.3
79, Avengers: Endgame,2019,8.4
80, Oppenheimer,2023,8.4
81, Joker,2019,8.4
82, Princezna Mononoke,1997,8.3
83, Dobrý Will Hunting,1997,8.3
84, Kimi no na wa,2016,8.4
85, Tenkrát v Americe,1984,8.3
86, Nebe a peklo,1963,8.4
87, 3 Idiots,2009,8.4
88, Zpívání v desti,1952,8.3
89, Capharnaüm,2018,8.4
90, Requiem za sen,2000,8.3
91, Jdi a dívej se,1985,8.4
92, Toy Story 3: Příběh hraček,2010,8.3
93, Star Wars VI: Návrat Jediů,1983,8.3
94, Věčný svit neposkvrněné mysli,2004,8.3
95, Hon,2012,8.3
96, 2001: Vesmírná odysea,1968,8.3
97, Gauneři,1992,8.3
98, Žít,1952,8.3
99, Lawrence z Arábie,1962,8.3
100, Byt,1960,8.3
101, Poor Things,2023,8.4
102, Občan Kane,1941,8.3
103, Na sever severozápadní linkou,1959,8.3
104, Vrah mezi námi,1931,8.3
105, Vertigo,1958,8.3
106, Pojistka smrti,1944,8.3
107, Zjizvená tvár,1983,8.3
108, Amélie z Montmartru,2001,8.3
109, Požáry,2010,8.3
110, Olověná vesta,1987,8.3
111, Mechanický pomeranč,1971,8.3
112, Nelítostný souboj,1995,8.3
113, Vzhůru do oblak,2009,8.3
114, Jako zabít ptáčka,1962,8.3
115, Podraz,1973,8.3
116, Rozchod Nadera a Simin,2011,8.3
117, Indiana Jones a poslední křížová výprava,1989,8.2
118, Hamilton,2020,8.3
119, Smrtonosná past,1988,8.2
120, Metropolis,1927,8.3
121, Jako hvězdy na Zemi,2007,8.3
122, Podfu(c)k,2000,8.2
123, Zloději kol,1948,8.3
124, L,1997,8.2
125, 1917,2019,8.2
126, Taxikář,1976,8.2
127, Pád Třetí říše,2004,8.2
128, Dangal,2016,8.3
129, Pro pár dolarů navíc,1965,8.2
130, Batman začíná,2005,8.2
131, Nekdo to rád horké,1959,8.2
132, Vlk z Wall Street,2013,8.2
133, Kid,1921,8.2
134, Zelená kniha,2018,8.2
135, The Father,2020,8.2
136, Top Gun: Maverick,2022,8.3
137, Vše o Evě,1950,8.2
138, Norimberský proces,1961,8.3
139, Truman Show,1998,8.2
140, Až na krev,2007,8.2
141, Prokletý ostrov,2010,8.2
142, Casino,1995,8.2
143, Ran,1985,8.2
144, Jurský park,1993,8.2
145, Šestý smysl,1999,8.2
146, Faunův labyrint,2006,8.2
147, Nesmiřitelní,1992,8.2
148, Čistá duše,2001,8.2
149, Tahle země není pro starý,2007,8.2
150, Poklad na Sierra Madre,1948,8.2
151, Tělesná stráž,1961,8.2
152, Věc,1982,8.2
153, Kill Bill,2003,8.2
154, Monty Python a svatý grál,1975,8.2
155, Velký útěk,1963,8.2
156, Hledá se Nemo,2003,8.2
157, Rašomon,1950,8.2
158, Sloní Muž,1980,8.2
159, Zámek v oblacích,2004,8.2
160, Čínská čtvrť,1974,8.1
161, Zmizení,2013,8.1
162, Vrazda na objednávku,1954,8.2
163, Jih proti Severu,1939,8.2
164, V jako Vendeta,2005,8.2
165, Sbal prachy a vypadni,1998,8.1
166, Tajemství jejich ocí,2009,8.2
167, Zuřící býk,1980,8.1
168, V hlavě,2015,8.1
169, Tři billboardy kousek za Ebbingem,2017,8.1
170, Trainspotting,1996,8.1
171, Most přes řeku Kwai,1957,8.1
172, Spider-Man: Bez domova,2021,8.2
173, Godzilla Minus One,2023,8.3
174, Fargo,1996,8.1
175, Válečník,2011,8.1
176, Klaus,2019,8.2
177," Chyť mě, když to dokážeš",2002,8.1
178, Gran Torino,2008,8.1
179, Můj soused Totoro,1988,8.1
180, Million Dollar Baby,2004,8.1
181, Harry Potter a Relikvie smrti - část 2,2011,8.1
182, Božské děti,1997,8.2
183, Blade Runner,1982,8.1
184, 12 let v řetězech,2013,8.1
185, Před úsvitem,1995,8.1
186, Grandhotel Budapešť,2014,8.1
187, Ben Hur,1959,8.1
188, Barry Lyndon,1975,8.1
189, Zmizelá,2014,8.1
190, Zlaté Opojení,1925,8.1
191, Hacksaw Ridge: Zrození hrdiny,2016,8.1
192, Ve jménu otce,1993,8.1
193, Pečeť vraha,2003,8.1
194, V prístavu,1954,8.1
195, Frigo na mašině,1926,8.1
196, Lovec jelenů,1978,8.1
197, Společnost mrtvých básníků,1989,8.1
198, Divoké historky,2014,8.1
199, Šílený Max: Zběsilá cesta,2015,8.1
200, Lesní jahody,1957,8.1
201, Sherlock Jr,1924,8.2
202, Třetí muž,1949,8.1
203, Mzda strachu,1953,8.2
204, Příšerky s,2001,8.1
205, Čelisti,1975,8.1
206, Jak vycvičit draka,2010,8.1
207, Pan Smith přichází,1939,8.1
208, Mary a Max,2009,8.1
209, Le Mans '66,2019,8.1
210, Ratatouille,2007,8.1
211, Sedmá pečeť,1957,8.1
212, Pokoj,2015,8.1
213, Big Lebowski,1998,8.1
214, Příběh z Tokia,1953,8.1
215, Rocky,1976,8.1
216, Hotel Rwanda,2004,8.1
217, Logan: Wolverine,2017,8.1
218, Spotlight,2015,8.1
219, Četa,1986,8.1
220, Terminátor,1984,8.1
221, Utrpení Panny orleánské,1928,8.1
222, Jai Bhim,2021,8.7
223, Před soumrakem,2004,8.1
224, Nejlepší léta našeho života,1946,8.1
225, Nenávist,1995,8.1
226, Rivalové,2013,8.1
227, Vymítač ďábla,1973,8.1
228, Network,1976,8.1
229, Stůj při mně,1986,8.1
230, Piráti z Karibiku - Prokletí Černé perly,2003,8.1
231, Čaroděj ze země Oz,1939,8.1
232, Úžasňákovi,2004,8.0
233, Útěk do divočiny,2007,8.1
234, Hačikó - příběh psa,2009,8.1
235, Komorná,2016,8.1
236, To Be or Not to Be,1942,8.1
237, Babam ve Oglum,2005,8.2
238, Hrozny hněvu,1940,8.1
239, Bitva o Alžír,1966,8.1
240, Na Hromnice o den více,1993,8.0
241, The Sound of Music,1965,8.1
242, Amores perros - Láska je kurva,2000,8.1
243, Mrtvá a živá,1940,8.1
244, Frajer Luke,1967,8.1
245, Železný obr,1999,8.1
246, Černobílý svět,2011,8.1
247, Stalo se jedné noci,1934,8.1
248, Nikdo mne nemá rád,1959,8.1
249, Drishyam,2015,8.2
250, Aladdin,1992,8.0
